Id,Number,Title,Player1,Player2,Player3,Player4,Created at,Updated at
130,39,,97,6,57,40,2016-02-07 00:19:01 UTC,2016-02-07 04:25:49 UTC
129,38,,68,8,26,15,2016-02-07 00:19:01 UTC,2016-02-07 04:25:49 UTC
128,37,,22,90,13,18,2016-02-07 00:19:01 UTC,2016-02-07 04:24:29 UTC
127,36,,78,28,75,105,2016-02-07 00:19:01 UTC,2016-02-07 04:23:59 UTC
126,35,,1,47,128,114,2016-02-07 00:19:01 UTC,2016-02-07 04:23:27 UTC
125,34,,145,113,31,29,2016-02-07 00:19:01 UTC,2016-02-07 04:23:04 UTC
124,33,,61,56,87,3,2016-02-07 00:19:01 UTC,2016-02-07 04:22:42 UTC
123,32,,55,41,2,74,2016-02-07 00:19:01 UTC,2016-02-07 04:22:15 UTC
122,31,,147,137,51,53,2016-02-07 00:19:01 UTC,2016-02-07 04:21:55 UTC
121,30,,155,96,111,19,2016-02-07 00:19:01 UTC,2016-02-07 04:21:26 UTC
120,29,,149,50,63,14,2016-02-07 00:19:01 UTC,2016-02-07 04:20:54 UTC
119,28,,70,91,115,58,2016-02-07 00:19:01 UTC,2016-02-07 04:20:30 UTC
118,27,,118,126,89,139,2016-02-07 00:19:01 UTC,2016-02-07 04:20:04 UTC
117,26,,125,12,143,38,2016-02-07 00:19:01 UTC,2016-02-07 04:19:36 UTC
116,25,,106,135,30,21,2016-02-07 00:19:01 UTC,2016-02-07 04:19:11 UTC
115,24,,109,45,64,119,2016-02-07 00:19:01 UTC,2016-02-07 04:18:38 UTC
114,23,,101,94,127,151,2016-02-07 00:19:01 UTC,2016-02-07 04:18:11 UTC
113,22,,32,93,108,20,2016-02-07 00:19:01 UTC,2016-02-07 04:17:48 UTC
112,21,,124,95,85,44,2016-02-07 00:19:01 UTC,2016-02-07 04:17:20 UTC
111,20,,36,82,52,59,2016-02-07 00:19:01 UTC,2016-02-07 04:16:06 UTC
110,19,,133,134,81,68,2016-02-07 00:19:01 UTC,2016-02-07 04:15:39 UTC
109,18,,123,110,107,86,2016-02-07 00:19:01 UTC,2016-02-07 04:12:54 UTC
108,17,,11,153,77,120,2016-02-07 00:19:01 UTC,2016-02-07 04:12:23 UTC
107,16,,23,27,76,117,2016-02-07 00:19:01 UTC,2016-02-07 04:11:46 UTC
106,15,,5,98,142,136,2016-02-07 00:19:01 UTC,2016-02-07 04:11:22 UTC
105,14,,130,148,39,71,2016-02-07 00:19:01 UTC,2016-02-07 04:10:13 UTC
104,13,,141,100,34,62,2016-02-07 00:19:01 UTC,2016-02-07 04:10:13 UTC
103,12,,138,92,43,112,2016-02-07 00:19:01 UTC,2016-02-07 04:01:33 UTC
102,11,,72,156,154,122,2016-02-07 00:19:01 UTC,2016-02-07 04:01:12 UTC
101,10,,33,144,54,17,2016-02-07 00:19:01 UTC,2016-02-07 04:00:41 UTC
100,9,,4,152,102,121,2016-02-07 00:19:01 UTC,2016-02-07 03:59:50 UTC
99,8,,10,60,24,35,2016-02-07 00:19:01 UTC,2016-02-07 03:59:27 UTC
98,7,,80,129,37,104,2016-02-07 00:19:01 UTC,2016-02-07 03:59:01 UTC
97,6,,103,131,65,7,2016-02-07 00:19:01 UTC,2016-02-07 03:58:36 UTC
96,5,,25,146,49,132,2016-02-07 00:19:01 UTC,2016-02-07 03:57:58 UTC
95,4,,16,84,42,73,2016-02-07 00:19:01 UTC,2016-02-07 03:57:31 UTC
94,3,,88,116,66,46,2016-02-07 00:19:01 UTC,2016-02-07 03:57:02 UTC
93,2,,48,99,83,9,2016-02-07 00:19:01 UTC,2016-02-07 03:56:26 UTC
92,1,,69,150,79,140,2016-02-07 00:19:01 UTC,2016-02-07 03:56:00 UTC
